pais,edad,sexo,profesion,salario,subcategoria,edad_producto,alto,ancho,profundidad,edad_relevante,cantidad_producto,precio_unitario,iva,subtotal,total,ganancia,clase
25,49,2,1,2000,24,2,37.519999999999996,17.42,0,0,3,9.63,3.47,28.89,32.36,2.64,13
25,49,2,1,2000,24,3,20.16,17.81,0,0,3,9.63,3.47,28.89,32.36,2.64,13
25,49,2,1,2000,15,3,21.995,31.005,31.005,0,3,6.04,2.17,18.12,20.29,1.65,12
25,49,2,1,2000,22,3,22.68,33.32,33.32,0,2,6.04,1.45,12.08,13.53,1.10,12
23,26,1,3,2000,31,2,17.28,16.64,0,0,1,9.63,1.16,9.63,10.79,0.88,13
23,26,1,3,2000,17,2,17.5,17.5,17.5,0,2,6.04,1.45,12.08,13.53,1.10,12
22,28,1,1,900,9,39,47.2,28.7,24.6,1,1,459.38,55.13,459.38,514.51,41.76,1
23,53,2,5,1000,18,2,42.6,28.4,28.4,0,2,6.04,1.45,12.08,13.53,1.10,12
23,53,2,5,1000,22,2,15.12,15.12,15.12,0,3,6.04,2.17,18.12,20.29,1.65,12
23,53,2,5,1000,36,3,31.68,10.08,10.08,0,3,12.09,4.35,36.27,40.62,3.30,14
25,27,2,6,1000,27,2,27.28,11.44,0,0,5,9.63,5.78,48.15,53.93,4.40,13
25,27,2,6,1000,11,20,27.3,36.6,30.5,1,4,241.78,116.05,967.12,1083.17,87.92,1
22,25,1,2,900,38,2,19.8,17.6,15.4,0,5,12.09,7.25,60.45,67.70,5.50,14
22,25,1,2,900,19,3,21.84,43.31,43.31,0,2,6.04,1.45,12.08,13.53,1.10,12
22,25,1,2,900,30,2,45.12,7.67,0,0,5,9.63,5.78,48.15,53.93,4.40,13
22,63,2,1,1500,28,3,30.96,16.77,0,0,1,9.63,1.16,9.63,10.79,0.88,13
22,63,2,1,1500,16,2,20.235,50.765,50.765,0,1,6.04,0.72,6.04,6.76,0.55,12
22,63,2,1,1500,35,2,28.38,23.22,23.22,0,1,12.09,1.45,12.09,13.54,1.10,14
22,63,2,1,1500,23,3,44.64,18.72,0,0,2,9.63,2.31,19.26,21.57,1.76,13
22,63,2,1,1500,27,2,32.48,14.56,0,0,1,9.63,1.16,9.63,10.79,0.88,13
23,25,2,6,1500,9,6,40.25,25.5,28.75,1,1,72.53,8.70,72.53,81.23,6.59,1
21,38,2,5,2000,9,13,46.8,41.6,36.4,1,5,145.07,87.04,725.35,812.39,65.95,1
23,29,2,4,900,19,3,26.04,29.96,26.04,0,3,6.04,2.17,18.12,20.29,1.65,12
23,29,2,4,900,4,36,49.35,14.75,28.2,1,5,435.20,261.12,2176.00,2437.12,197.80,1
23,29,2,4,900,10,12,33.95,29.1,25.75,1,5,145.07,87.04,725.35,812.39,65.95,1
23,29,2,4,900,37,2,14.3,11.7,11.7,0,5,12.09,7.25,60.45,67.70,5.50,14
21,41,2,2,900,5,31,53.2,46.55,20.1,1,1,374.76,44.97,374.76,419.73,34.07,1
21,41,2,2,900,20,3,33.6,22.4,33.6,0,1,6.04,0.72,6.04,6.76,0.55,12
21,41,2,2,900,16,2,34.72,34.72,34.72,0,3,6.04,2.17,18.12,20.29,1.65,12
25,47,2,5,750,26,2,19,9.879999999999999,0,0,3,9.63,3.47,28.89,32.36,2.64,13
25,47,2,5,750,20,2,14.31,38.69,38.69,0,5,6.04,3.62,30.20,33.82,2.75,12
21,49,1,1,2000,37,2,15.4,18.45,18.45,0,1,12.09,1.45,12.09,13.54,1.10,14
21,49,1,1,2000,31,2,31.68,17.16,0,0,4,9.63,4.62,38.52,43.14,3.52,13
21,49,1,1,2000,9,24,30.1,25.8,21.5,1,5,278.05,166.83,1390.25,1557.08,126.40,1
21,49,1,1,2000,16,3,28.56,34.79,34.79,0,2,6.04,1.45,12.08,13.53,1.10,12
21,49,1,1,2000,17,2,28.09,28.09,24.91,0,3,6.04,2.17,18.12,20.29,1.65,12
21,29,2,4,900,26,2,25.23,14.69,0,0,1,9.63,1.16,9.63,10.79,0.88,13
21,29,2,4,900,28,3,21.39,17.03,0,0,2,9.63,2.31,19.26,21.57,1.76,13
21,29,2,4,900,29,2,26.25,13.65,0,0,5,9.63,5.78,48.15,53.93,4.40,13
21,29,2,4,900,21,2,37.519999999999996,37.519999999999996,37.519999999999996,0,1,6.04,0.72,6.04,6.76,0.55,12
24,27,1,3,2000,8,8,33.3,26.7,33.3,1,3,96.71,34.82,290.13,324.95,26.37,1
24,27,1,3,2000,29,3,22.95,11.05,0,0,5,9.63,5.78,48.15,53.93,4.40,13
25,27,2,6,1000,29,3,17.4,7.8,0,0,1,9.63,1.16,9.63,10.79,0.88,13
25,27,2,6,1000,2,26,28.7,29.5,23.6,1,5,302.23,181.34,1511.15,1692.49,137.40,1
25,27,2,6,1000,20,2,17.64,17.64,17.64,0,5,6.04,3.62,30.20,33.82,2.75,12
22,34,1,3,750,4,5,12.5,10,22.5,1,1,48.36,5.80,48.36,54.16,4.40,1
22,34,1,3,750,31,2,25.48,12.74,0,0,3,9.63,3.47,28.89,32.36,2.64,13
22,34,1,3,750,24,3,29.96,12.09,0,0,2,9.63,2.31,19.26,21.57,1.76,13
22,34,1,3,750,6,32,41.65,35.7,20.25,1,5,374.76,224.86,1873.80,2098.66,170.35,1
25,43,2,5,900,28,2,30,16.25,0,0,2,9.63,2.31,19.26,21.57,1.76,13
25,43,2,5,900,4,12,41.6,28.8,26,1,5,145.07,87.04,725.35,812.39,65.95,1
22,50,2,4,1000,3,18,25.55,38.1,18.25,1,1,217.60,26.11,217.60,243.71,19.78,1
22,50,2,4,1000,27,3,34.32,18.59,0,0,5,9.63,5.78,48.15,53.93,4.40,13
22,50,2,4,1000,7,39,31.85,27.3,27.25,1,5,471.47,282.88,2357.35,2640.23,214.30,1
22,50,2,4,1000,15,2,33.37,37.63,37.63,0,5,6.04,3.62,30.20,33.82,2.75,12
22,50,2,4,1000,10,9,17.25,13.8,10.35,1,4,96.71,46.42,386.84,433.26,35.16,1
21,60,2,1,750,24,2,27.04,12.48,0,0,3,9.63,3.47,28.89,32.36,2.64,13
25,55,2,1,900,18,3,35.28,26.27,44.730000000000004,0,4,6.04,2.90,24.16,27.06,2.20,12
25,55,2,1,900,4,28,34,29.75,25.5,1,5,338.49,203.09,1692.45,1895.54,153.85,1
25,55,2,1,900,8,37,26,19.2,14.4,1,2,435.20,104.45,870.40,974.85,79.12,1
25,55,2,1,900,33,37,22.66,17.46,18.54,1,2,447.29,107.35,894.58,1001.93,81.32,14
25,55,2,1,900,27,2,21.75,14.69,0,0,1,9.63,1.16,9.63,10.79,0.88,13
21,47,2,2,1000,4,31,26.8,20.1,33.25,1,3,362.67,130.56,1088.01,1218.57,98.91,1
